50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,x,y,end_x,end_y
,,,,,,,,,,,,,,,,,,,,0.329471,,,,,,,,,,,,,,,1a3b4395-b5f5-4439-882e-50727246fb62,758,,"[27.2, 47.0]",3869685,20,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Jules Koundé,4445.0,Right Back,31,Argentina,779,,44,,,,,,,,,,,,,,,,,France,771,00:20:44.621,Pressure,,27.2,47.0,,
,,,,,,,,,,,,,,,,,,,,0.321812,,,,,,,,,,,,,,,cf41554c-18fa-4984-8322-140a56add3b0,764,,"[4.3, 65.2]",3869685,20,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Ousmane Dembélé,5477.0,Right Wing,31,Argentina,779,['49083a86-11b1-4fd2-9830-a1ab951bc1b8'],50,,,,,,,,,,,,,,,,,France,771,00:20:50.329,Pressure,,4.3,65.2,,
,,,,,,,,,,,,,,,,,,,,0.443445,,,,,,,,,,,,,,,a058a11a-2672-4e8b-aa8a-34d22a2467f5,768,,"[6.7, 62.8]",3869685,20,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Ousmane Dembélé,5477.0,Right Wing,31,Argentina,779,['c9609f52-1f7b-4b21-9a6c-d145a20ffe06'],52,,,,,,,,,,,,,,,,,France,771,00:20:52.533,Pressure,,6.7,62.8,,
,,,,,,,,,,,,,,True,,,,,,0.327678,,,,,,,,,,,,,,,887c5cc6-2885-4fc2-808a-2332823318d3,805,,"[86.7, 28.8]",3869685,24,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Adrien Rabiot,3026.0,Left Defensive Midfield,35,Argentina,779,['3e38e0a7-9dae-474a-b3b5-f8a3db3ba0d9'],16,,,,,,,,,,,,,,,,,France,771,00:24:16.969,Pressure,,86.7,28.8,,
,,,,,,,,,,,,,,,,,,,,0.441947,,,,,,,,,,,,,,,982213b0-b602-4e83-b592-1eafcbb4c67f,809,,"[83.2, 48.1]",3869685,24,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Ousmane Dembélé,5477.0,Right Wing,35,Argentina,779,['715b7327-3630-4274-a168-e7c805d309e1'],19,,,,,,,,,,,,,,,,,France,771,00:24:19.220,Pressure,,83.2,48.1,,
,,,,,,,,,,,,,,,,,,,,2.646348,,,,,,,,,,,,,,,13e0c44e-1bdf-419e-ade5-94d8b66be7ef,845,,"[61.4, 74.8]",3869685,25,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Ousmane Dembélé,5477.0,Right Wing,39,Argentina,779,['67367213-d82d-4936-8f0e-e417666ee118'],24,,,,,,,,,,,,,,,,,France,771,00:25:24.416,Pressure,,61.4,74.8,,
,,,,,,,,,,,,,,,,,,,,0.344424,,,,,,,,,,,,,,,9c8fb653-850e-44a3-9153-3c8b12ae9d3f,876,,"[12.9, 11.9]",3869685,28,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Theo Bernard François Hernández,6704.0,Left Back,41,Argentina,779,['8c5a667b-6f0e-4101-8670-960405dfee57'],29,,,,,,,,,,,,,,,,,France,771,00:28:29.587,Pressure,,12.9,11.9,,
,,,,,,,,,,,,,,True,,,,,,0.230207,,,,,,,,,,,,,,,e74200b4-2b62-4ae1-89d5-ab09a388ec2e,891,,"[82.4, 61.3]",3869685,29,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Antoine Griezmann,5487.0,Center Attacking Midfield,44,Argentina,779,"['98241c9a-8ceb-45f2-a06f-a91987266cd3', '9b4e93a9-f7b8-4992-b2a6-5ae02bea6831']",44,,,,,,,,,,,,,,,,,France,771,00:29:44.849,Pressure,,82.4,61.3,,
,,,,,,,,,,,,,,,,,,,,1.255336,,,,,,,,,,,,,,,7089da17-0730-4220-bd41-8de613e7a0d6,929,,"[46.7, 74.8]",3869685,30,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Ousmane Dembélé,5477.0,Right Wing,46,Argentina,779,['a992c5ec-3fa7-4a06-9eca-88ef98cc0bdf'],42,,,,,,,,,,,,,,,,,France,771,00:30:42.059,Pressure,,46.7,74.8,,
,,,,,,,,,,,,,,,,,,,,0.451059,,,,,,,,,,,,,,,39610874-3288-4cef-aa4e-5da4fe75d1b7,936,,"[108.1, 45.1]",3869685,30,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Olivier Giroud,3604.0,Center Forward,46,Argentina,779,"['8f4223d7-3d7d-4f62-96fe-62f7b94a4695', 'ac88910c-f667-4b2a-9ca5-7401ea9c3621']",50,,,,,,,,,,,,,,,,,France,771,00:30:50.572,Pressure,,108.1,45.1,,
