50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,x,y,end_x,end_y
,,,,,,,,,,,,,,,,,,,,0.452218,,,,,,,,,,,,,,,95172fab-1d21-4152-b4e6-18d97940396c,516,,"[35.6, 19.4]",3869685,14,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Enzo Fernandez,38718.0,Center Defensive Midfield,24,France,771,"['cbf8b3a9-d5b3-43f6-a575-910394502eb0', 'd3248d15-615d-4fe1-ac66-62b5914bd006']",34,,,,,,,,,,,,,,,,,Argentina,779,00:14:34.529,Pressure,,35.6,19.4,,
,,,,,,,,,,,,,,,,,,,,1.563804,,,,,,,,,,,,,,,5d4df88f-df0c-41cd-a84c-a2487be78841,625,,"[32.8, 75.4]",3869685,17,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Nahuel Molina Lucero,29201.0,Right Back,28,France,771,"['309fe67b-f8fe-4b73-8ee5-5870a4eac34d', '6b875c43-7c4c-4b32-a723-379292e94943', '9e051769-414b-416a-b588-eab06b4e1868']",22,,,,,,,,,,,,,,,,,Argentina,779,00:17:22.262,Pressure,,32.8,75.4,,
,,,,,,,,,,,,,,,,,,,,0.672241,,,,,,,,,,,,,,,6e263d99-aaba-4746-81ce-798c23f608f9,665,,"[15.5, 68.8]",3869685,18,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Rodrigo Javier De Paul,7797.0,Right Center Midfield,29,France,771,['83b13f44-2578-4eb2-8d9d-adf814d4d33d'],10,,,,,,,,,,,,,,,,,Argentina,779,00:18:10.828,Pressure,,15.5,68.8,,
,,,,,,,,,,,,,,,,,,,,0.353,,,,,,,,,,,,,,,d71ddde4-653d-419c-820a-75fbc4476d9f,666,,"[9.9, 65.6]",3869685,18,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Cristian Gabriel Romero,20572.0,Right Center Back,29,France,771,,11,,,,,,,,,,,,,,,,,Argentina,779,00:18:11.435,Pressure,,9.9,65.6,,
,,,,,,,,,,,,,,True,,,,,,0.444807,,,,,,,,,,,,,,,16320e8d-cb6b-43c6-8c7a-a011c6bf6b5c,853,,"[29.6, 26.5]",3869685,25,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Cristian Gabriel Romero,20572.0,Right Center Back,39,Argentina,779,"['8aeda105-27d1-4272-a96a-8bbf28348f16', 'cbb05a08-9a6d-4569-bc73-8a893e5236c5']",31,,,,,,,,,,,,,,,,,Argentina,779,00:25:31.933,Pressure,,29.6,26.5,,
,,,,,,,,,,,,,,,,,,,,0.477051,,,,,,,,,,,,,,,9c6cf44d-1133-4470-a947-f85bf436232d,1044,,"[70.4, 4.0]",3869685,33,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Ángel Fabián Di María Hernández,2995.0,Left Wing,50,Argentina,779,['e00327e1-e4c4-4e88-9040-feae1e66fc34'],4,,,,,,,,,,,,,,,,,Argentina,779,00:33:04.760,Pressure,,70.4,4.0,,
,,,,,,,,,,,,,,True,,,,,,0.442793,,,,,,,,,,,,,,,2077fae5-4314-41d2-aeab-53f6a4a28647,1046,,"[64.0, 7.8]",3869685,33,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Nicolás Alejandro Tagliafico,5507.0,Left Back,50,Argentina,779,"['6c3ac655-679a-435b-b58e-e1a78ed16e1f', 'c1a93cbf-ed50-479b-97d5-704e6909dd8f']",5,,,,,,,,,,,,,,,,,Argentina,779,00:33:05.864,Pressure,,64.0,7.8,,
,,,,,,,,,,,,,,,,,,,,0.546144,,,,,,,,,,,,,,,1e2d25b6-1f22-4a19-86fd-2bb69c2aba00,1185,,"[51.0, 68.8]",3869685,37,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Rodrigo Javier De Paul,7797.0,Right Center Midfield,53,France,771,"['8cbae9a1-c058-46cc-ba85-4fff23c6628c', 'e52d7aa0-17bb-4d07-8d65-7627c946249a']",0,,,,,,,,,,,,,,,,,Argentina,779,00:37:00.037,Pressure,,51.0,68.8,,
,,,,,,,,,,,,,,,,,,,,1.47731,,,,,,,,,,,,,,,f27ca025-1792-4ec1-a19b-500248795258,1192,,"[64.0, 20.9]",3869685,37,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Julián Álvarez,29560.0,Center Forward,53,France,771,['c7e6e594-4cfb-45b9-bab4-b12da200ff70'],7,,,,,,,,,,,,,,,,,Argentina,779,00:37:07.574,Pressure,,64.0,20.9,,
,,,,,,,,,,,,,,,,,,,,1.038532,,,,,,,,,,,,,,,87f49798-153e-4a8b-bd37-f2b87f1c5271,1196,,"[50.8, 5.9]",3869685,37,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Ángel Fabián Di María Hernández,2995.0,Left Wing,54,France,771,"['1c71d962-9d21-45e1-ad10-60fd586d694b', '30f28018-e658-4687-a1a9-d8db721e185f']",15,,,,,,,,,,,,,,,,,Argentina,779,00:37:15.183,Pressure,,50.8,5.9,,
,,,,,,,,,,,,,,,,,,,,0.787005,,,,,,,,,,,,,,,341e5d46-6ac8-452d-a137-4beb1833c506,1199,,"[44.3, 8.1]",3869685,37,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Nicolás Alejandro Tagliafico,5507.0,Left Back,54,France,771,['30f28018-e658-4687-a1a9-d8db721e185f'],16,,,,,,,,,,,,,,,,,Argentina,779,00:37:16.392,Pressure,,44.3,8.1,,
,,,,,,,,,,,,,,True,,,,,,0.253992,,,,,,,,,,,,,,,f01df417-e606-4502-899e-1b27ebd5732d,1265,,"[23.6, 58.1]",3869685,38,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Cristian Gabriel Romero,20572.0,Right Center Back,57,France,771,"['47ee9524-fe84-4282-afb9-a42cad984586', '5fa09826-8c8f-417b-a21e-24245b9512c4']",26,,,,,,,,,,,,,,,,,Argentina,779,00:38:26.810,Pressure,,23.6,58.1,,
,,,,,,,,,,,,,,True,,,,,,1.019155,,,,,,,,,,,,,,,8a4dd188-1a47-4c32-afb1-8de8cf34111d,1417,,"[113.4, 7.2]",3869685,42,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Ángel Fabián Di María Hernández,2995.0,Left Wing,63,Argentina,779,,34,,,,,,,,,,,,,,,,,Argentina,779,00:42:34.798,Pressure,,113.4,7.2,,
,,,,,,,,,,,,,,True,,,,,,0.442252,,,,,,,,,,,,,,,0639208c-3e10-45e1-a059-7ed3eccc04d1,1418,,"[106.6, 7.6]",3869685,42,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Nicolás Alejandro Tagliafico,5507.0,Left Back,63,Argentina,779,,35,,,,,,,,,,,,,,,,,Argentina,779,00:42:35.418,Pressure,,106.6,7.6,,
,,,,,,,,,,,,,,True,,,,,,0.589347,,,,,,,,,,,,,,,cf3dead9-6bfc-435e-856a-ee5a795c0c3b,1421,,"[115.4, 18.1]",3869685,42,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Nicolás Alejandro Tagliafico,5507.0,Left Back,63,Argentina,779,['21d9c2ee-8126-41d4-8297-84c040df6e3e'],37,,,,,,,,,,,,,,,,,Argentina,779,00:42:37.581,Pressure,,115.4,18.1,,
,,,,,,,,,,,,,,,,,,,,0.656646,,,,,,,,,,,,,,,7536b71d-8515-40fa-84bd-aed4c732ffae,1434,,"[32.6, 72.2]",3869685,43,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Nahuel Molina Lucero,29201.0,Right Back,64,France,771,"['ea342e89-a2ef-4c39-86be-6e6aaff2079c', 'f4c37d11-0f1b-4208-a8ad-e9137457c698']",14,,,,,,,,,,,,,,,,,Argentina,779,00:43:14.587,Pressure,,32.6,72.2,,
,,,,,,,,,,,,,,,,,,,,0.482116,,,,,,,,,,,,,,,4baef790-1e2a-4660-a9d2-a350e5fac448,1443,,"[43.5, 61.3]",3869685,43,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Enzo Fernandez,38718.0,Center Defensive Midfield,64,France,771,"['2bc8372b-94b8-4282-a278-a3bf42d3246a', '34b78eda-de17-458f-b9f0-36ac0f8d9319', '8a54c4ca-41ae-4827-967c-e6b834367953']",19,,,,,,,,,,,,,,,,,Argentina,779,00:43:19.240,Pressure,,43.5,61.3,,
,,,,,,,,,,,,,,,,,,,,0.675094,,,,,,,,,,,,,,,2c2a4df9-92ac-4d9f-9a18-4ebcff7d1956,1450,,"[33.4, 74.6]",3869685,43,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Nahuel Molina Lucero,29201.0,Right Back,64,France,771,"['9b14da7d-ac7f-445e-88c7-10c69776047e', 'd6110f6d-55ca-464e-9caf-071cb92c0b36']",22,,,,,,,,,,,,,,,,,Argentina,779,00:43:22.347,Pressure,,33.4,74.6,,
,,,,,,,,,,,,,,,,,,,,0.597235,,,,,,,,,,,,,,,7f3b1019-47c0-4bb9-bd92-3c38acb16123,1452,,"[39.0, 71.4]",3869685,43,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Rodrigo Javier De Paul,7797.0,Right Center Midfield,64,France,771,"['43b0154c-d830-4d2d-bcb2-6069abf121a5', 'fa136796-ecb2-4330-9f6e-367540376fca']",23,,,,,,,,,,,,,,,,,Argentina,779,00:43:23.550,Pressure,,39.0,71.4,,
,,,,,,,,,,,,,,,,,,,,0.648564,,,,,,,,,,,,,,,d9a7d524-1059-4009-9b0a-70c20a1f55bc,1481,,"[71.7, 49.3]",3869685,44,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Julián Álvarez,29560.0,Center Forward,65,France,771,['208cd229-32c6-4bc3-b080-fc695b72401d'],4,,,,,,,,,,,,,,,,,Argentina,779,00:44:04.293,Pressure,,71.7,49.3,,
,,,,,,,,,,,,,,,,,,,,0.785551,,,,,,,,,,,,,,,f13902ed-0c34-452d-83d1-39cde0574b77,1482,,"[70.0, 71.6]",3869685,44,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Julián Álvarez,29560.0,Center Forward,65,France,771,['3b92f834-27d8-4eb1-8595-555953648e72'],6,,,,,,,,,,,,,,,,,Argentina,779,00:44:06.805,Pressure,,70.0,71.6,,
,,,,,,,,,,,,,,,,,,,,2.255986,,,,,,,,,,,,,,,e79349ab-7e97-43c0-aec0-2143c87753de,1499,,"[31.3, 2.7]",3869685,44,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Nicolás Alejandro Tagliafico,5507.0,Left Back,66,France,771,"['6ae85a4e-6c64-40e3-9e6b-de5f7dc2de29', 'f41a823a-5e1e-4526-bbb1-5d1954e0f8ef']",38,,,,,,,,,,,,,,,,,Argentina,779,00:44:38.235,Pressure,,31.3,2.7,,
,,,,,,,,,,,,,,,,,,,,0.315793,,,,,,,,,,,,,,,30943f53-4f04-4a4f-b5ff-2cf8837041b0,1508,,"[33.6, 19.8]",3869685,44,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Enzo Fernandez,38718.0,Center Defensive Midfield,66,France,771,"['58338843-f988-47e3-bdd2-7ff546e9278e', '7fa0a2bb-f05c-4059-b2a6-dfb2500e9317']",44,,,,,,,,,,,,,,,,,Argentina,779,00:44:44.012,Pressure,,33.6,19.8,,
,,,,,,,,,,,,,,,,,,,,0.488598,,,,,,,,,,,,,,,78b9435e-d713-4680-9723-7e4ba3078ae6,1514,,"[37.7, 25.2]",3869685,44,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Julián Álvarez,29560.0,Center Forward,66,France,771,"['80d83ec4-a439-4d1f-bd1a-ddfa4f3c9a5c', 'dc622166-7789-451e-94ce-d10b4db8af19']",45,,,,,,,,,,,,,,,,,Argentina,779,00:44:45.413,Pressure,,37.7,25.2,,
,,,,,,,,,,,,,,,,,,,,0.687239,,,,,,,,,,,,,,,fc0e12c2-f546-46c3-96d7-392e53ba57e4,1518,,"[33.0, 32.0]",3869685,44,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Julián Álvarez,29560.0,Center Forward,66,France,771,['f9a1c387-9301-4efd-955d-ba5000c4bc46'],47,,,,,,,,,,,,,,,,,Argentina,779,00:44:47.421,Pressure,,33.0,32.0,,
,,,,,,,,,,,,,,,,,,,,1.114687,,,,,,,,,,,,,,,87f1d0d2-dc67-45f4-9140-618522a5b20a,1519,,"[32.8, 34.2]",3869685,44,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,66,France,771,['e27c6cb1-1c60-4d50-bf70-77c85416481f'],47,,,,,,,,,,,,,,,,,Argentina,779,00:44:47.602,Pressure,,32.8,34.2,,
,,,,,,,,,,,,,,,,,,,,0.608857,,,,,,,,,,,,,,,ff57f6f6-4591-4a14-b6ab-10c6de53a21d,1563,,"[49.0, 72.4]",3869685,45,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Rodrigo Javier De Paul,7797.0,Right Center Midfield,69,France,771,"['7d54c175-81e8-4fe5-b104-0849f60bb4e4', 'ab1bea2e-2271-402d-98be-92227676e845']",53,,,,,,,,,,,,,,,,,Argentina,779,00:45:53.932,Pressure,,49.0,72.4,,
,,,,,,,,,,,,,,,,,,,,0.967523,,,,,,,,,,,,,,,94ddcdcd-0a74-43d8-bbab-abd43b263cbc,1570,,"[42.2, 4.4]",3869685,46,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Alexis Mac Allister,27886.0,Left Center Midfield,69,France,771,"['4318973d-1f6e-4fb2-b885-adf95f632300', '9b124d2f-e8aa-468e-8b66-8a699d6f87c8']",8,,,,,,,,,,,,,,,,,Argentina,779,00:46:08.239,Pressure,,42.2,4.4,,
